id;locale;key;value
22447;en;decidim.authorization_handlers.ephemeral_sms.fields.eligible_confirmation_html;"By taking part in the vote, I confirm that I meet the requirements according to the <a href=""https://mitwirken.stadt-zuerich.ch/processes/pilotquartier/f/665/?locale=en"">rules</a>, i.e. that I live or work in the pilot neighbourhood, own property there, am a member of an association (e.g. Quartierverein Wiedikon), attend a school in the neighbourhood, or am a customer of local businesses."
22448;de;decidim.authorization_handlers.ephemeral_sms.fields.eligible_confirmation_html;"Mit meiner Teilnahme am Voting bestätige ich, dass ich die Anforderungen gemäss <a href=""https://mitwirken.stadt-zuerich.ch/processes/pilotquartier/f/665/?locale=de"">Spielregeln</a> erfülle, d. h. im Pilotquartier wohne, arbeite, Eigentum besitze, Vereinsmitglied bin (bspw. im Quartierverein Wiedikon), eine Schule im Quartier besuche oder Kunde*in bin vom lokalen Gewerbe."
22450;de;decidim.verifications.authorizations.new.tos_agreement;Mit der SMS-Verifizierungerkläre ich mich gleichzeitig einverstanden mit den %{link} der Plattform.
22451;en;activemodel.attributes.confirmation.verification_code;Verification code
22452;de;activemodel.attributes.confirmation.verification_code;Verfizierungscode
22453;en;decidim.authorization_handlers.sms.explanation;Submit your mobile phone number so we can check your identity. The SMS with the code can only be sent to Swiss telephone numbers.
22454;de;decidim.authorization_handlers.sms.explanation;Geben Sie Ihre Handynummer ein, damit Sie Ihr Konto per SMS bestätigen können. Die Zustellung des Codes funktioniert nur mit schweizerischen Telefonnummern.
22455;en;decidim.verifications.sms.authorizations.update.success;Super! Your account has been successfully confirmed. Thank you!
22456;de;decidim.verifications.sms.authorizations.update.success;Super! Ihr Konto wurde erfolgreich bestätigt. Vielen Dank!
22457;en;decidim.authorization_modals.content.missing.authorize;"Authorize with ""%{authorization}"""
22458;de;decidim.authorization_modals.content.missing.authorize;Konto bestätigen
22459;en;doorkeeper.authorizations.new.title;Authorization required
22460;de;doorkeeper.authorizations.new.title;Bestätigung erforderlich
22461;en;decidim.authorization_modals.content.pending.explanation;"In order to perform this action, you need to be authorized with ""%{authorization}"", but your authorization is still in progress"
22462;de;decidim.authorization_modals.content.pending.explanation;Damit Sie diese Aktion durchführen können, müssen Sie Ihr Konto per SMS bestätigen. Wir schützen damit die Plattform vor Missbrauch. Wir haben Ihnen bereits einen Code gesendet.
22463;en;decidim.verifications.sms.authorizations.create.success;Thanks! We've sent an SMS to your phone.
